"","n_comp","freq","threshold","sd","subj"
"113",9,300,-5.25,2.23606798,"x18"
"114",9,6100,-4.5,2.65753645,"x18"
"115",9,300,-1.625,1.70018381,"x18"
"116",9,6100,13,0,"x18"
"117",9,6100,13,0,"x18"
"118",9,300,-6,1.03077641,"x18"
"119",9,300,-3.375,1.17924764,"x18"
"120",9,6100,13,0,"x18"
"121",9,6100,13,0,"x20"
"122",9,300,4.5,2.62202212,"x20"
"123",9,300,-0.875,1.17924764,"x20"
"124",9,6100,13,0,"x20"
"125",9,300,-3.875,2.18303115,"x20"
"126",9,6100,7.125,2.21147575,"x20"
"127",9,6100,13,0,"x20"
"128",9,300,-2.25,2.79508497,"x20"
"129",9,6100,13,0,"x20"
"130",9,300,-2,1.19895788,"x20"
"131",9,6100,13,0,"x20"
"132",9,300,-1.25,1.03077641,"x20"
"133",9,300,13,0,"x25"
"134",9,6100,13,0,"x25"
"135",9,300,13,0,"x25"
"136",9,6100,2.375,3.64220057,"x25"
"137",9,6100,13,0,"x25"
"138",9,300,13,0,"x25"
"139",9,6100,13,0,"x25"
"140",9,300,9,0.93541435,"x25"
"141",9,300,13,0,"x25"
"142",9,6100,13,0,"x25"
"143",9,300,13,0,"x25"
"144",9,6100,13,0,"x25"
"145",9,300,13,0,"x28"
"146",9,6100,13,0,"x28"
"147",9,6100,13,0,"x28"
"148",9,300,-4.625,0.5153882,"x28"
"149",9,6100,13,0,"x28"
"150",9,300,-4.75,0.96824584,"x28"
"151",9,300,-5.375,0.80039053,"x28"
"152",9,6100,2.875,4.69208109,"x28"
"153",9,300,-7.375,0.375,"x28"
"154",9,6100,7.75,0.55901699,"x28"
"155",9,6100,13,0,"x28"
"156",9,300,-6.875,2.00390244,"x28"
"157",9,300,13,0,"x29"
"158",9,6100,13,0,"x29"
"159",9,300,13,0,"x29"
"160",9,6100,13,0,"x29"
"161",9,300,6.625,0.80039053,"x29"
"162",9,6100,13,0,"x29"
"163",9,300,-0.5,2.35849528,"x29"
"164",9,6100,13,0,"x29"
"165",9,300,-4.25,2.65753645,"x29"
"166",9,6100,13,0,"x29"
"167",9,300,-0.75,1.47901995,"x29"
"168",9,6100,13,0,"x29"
"169",9,300,13,0,"x32"
"170",9,6100,13,0,"x32"
"171",9,6100,13,0,"x32"
"172",9,300,13,0,"x32"
"173",9,6100,13,0,"x32"
"174",9,300,13,0,"x32"
"175",9,6100,13,0,"x32"
"176",9,300,9.625,0.375,"x32"
"177",9,300,13,0,"x32"
"178",9,6100,9.125,0.9437293,"x32"
"179",9,300,4.375,5.39820572,"x32"
"180",9,6100,13,0,"x32"
"181",9,300,13,0,"x33"
"182",9,6100,13,0,"x33"
"183",9,6100,13,0,"x33"
"184",9,300,13,0,"x33"
"185",9,300,13,0,"x33"
"186",9,6100,13,0,"x33"
"187",9,6100,13,0,"x33"
"188",9,300,13,0,"x33"
"189",9,300,13,0,"x33"
"190",9,6100,13,0,"x33"
"191",9,300,13,0,"x33"
"192",9,6100,13,0,"x33"
"193",9,6100,13,0,"x34"
"194",9,300,7.04166667,2.16706727,"x34"
"195",9,300,-10.375,1.28086885,"x34"
"196",9,6100,13,0,"x34"
"197",9,6100,13,0,"x34"
"198",9,300,-10.625,0.5153882,"x34"
"199",9,300,-9.625,0.375,"x34"
"200",9,6100,8.5,0.55901699,"x34"
"201",9,6100,1,0.93541435,"x34"
"202",9,300,-10.875,0.5153882,"x34"
"203",9,6100,13,0,"x34"
"204",9,300,-9.625,0.9437293,"x34"
"205",9,6100,13,0,"x36"
"206",9,300,13,0,"x36"
"207",9,6100,13,0,"x36"
"208",9,300,13,0,"x36"
"209",9,300,13,0,"x36"
"210",9,6100,13,0,"x36"
"211",9,6100,13,0,"x36"
"212",9,300,7.75,2.31840462,"x36"
"213",9,6100,13,0,"x36"
"214",9,300,13,0,"x36"
"215",9,6100,13,0,"x36"
"216",9,300,2.5,5.06211418,"x36"
"217",9,300,7.58333333,1.91847741,"x37"
"218",9,6100,5.20833333,2.98404321,"x37"
"219",9,300,8.125,1.41972709,"x37"
"220",9,6100,13,0,"x37"
"221",9,6100,13,0,"x37"
"222",9,300,4.5,0.93541435,"x37"
"223",9,6100,-1,0.61237244,"x37"
"224",9,300,-0.875,1.00778222,"x37"
"225",9,300,-3.375,1.58607219,"x37"
"226",9,6100,13,0,"x37"
"227",9,6100,13,0,"x37"
"228",9,300,-2.75,1.03077641,"x37"
"229",9,6100,13,0,"x39"
"230",9,300,13,0,"x39"
"231",9,300,1.375,1.70018381,"x39"
"232",9,6100,13,0,"x39"
"233",9,6100,13,0,"x39"
"234",9,300,0.875,1.03832798,"x39"
"235",9,6100,13,0,"x39"
"236",9,300,0.25,0.75,"x39"
"237",9,6100,13,0,"x39"
"238",9,300,1.5,1.6583124,"x39"
"239",9,6100,6.75,3.51781182,"x39"
"240",9,300,-3.375,1.25623445,"x39"
"241",9,6100,-3.125,3.80993766,"x41"
"242",9,300,13,0,"x41"
"243",9,300,4.25,1.29903811,"x41"
"244",9,6100,13,0,"x41"
"245",9,6100,13,0,"x41"
"246",9,300,13,0,"x41"
"247",9,300,5.91666667,2.30337916,"x41"
"248",9,6100,13,0,"x41"
"249",9,300,2.5,2.01556444,"x41"
"250",9,6100,13,0,"x41"
"251",9,300,4.5,1.27475488,"x41"
"252",9,6100,-5.375,3.50223143,"x41"
"253",9,300,-14.125,0.375,"x99"
"254",9,6100,13,0,"x99"
